provider_name,eik,municipality,settlement,address,social_service,target_group,license_number,license_validity,license_modified_number,license_modified_validity,license_renewed_number,license_renewed_validity,violations
"СДРУЖЕНИЕ ""АРЗ СОЛИДАРНОСТ""",175149607,Столична,гр. София,"район ""Средец"", ул. ""Карнеги"" № 18, ет. 1",Терапия и рехабилитация,"Пълнолетни лица със зависимост към психоактивни вещества, алкохол и/или хазарт",Л-3129-22/22.02.2021 г.,21.02.2026 г.,ЛПО-1-3129-22/04.11.2024 г.,21.02.2026 г.,,,
"СДРУЖЕНИЕ ""БЪДЕЩЕ ЗА ДЕЦАТА""",123648231,Казанлък,гр. Казанлък,"ул. ""Войнишка"" № 25",Терапия и рехабилитация; Асистентска подкрепа; Обучение за придобиване на умения; Осигуряване на подслон; Информиране и консултиране; Застъпничество и посредничество; Общностна работа,"Деца с увреждания,техните родители и близки",Л-3129-25/01.03.2021 г.; Л-3129-50/31.03.2021 г.; Л-3129-952/20.12.2021 г.; Л-3129-955/20.12.2021 г.; Л-3129-956/20.12.2021 г.; Л-3129-1641/16.06.2023 г.; Л-3129-1642/16.06.2023 г.; Л-3129-1643/16.06.2023 г.,28.02.2026 г.,,,,,
"""НЕДЯЛКОВ"" ЕООД",205515321,Стара Загора,гр. Стара Загора,"ул. ""Хан Аспарух"" № 29, ет. 10, ап. 58",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-26/01.03.2021 г.; Л-3129-2158/07.11.2025 г.,28.02.2026 г.,,,,,
"СДРУЖЕНИЕ ""НАЦИОНАЛНА АСОЦИАЦИЯ НА СЛЯПО-ГЛУХИТЕ В БЪЛГАРИЯ""",115173977,Пловдив,гр. Пловдив,"район ""Източен"", ж.к. ""Изгрев"", ул. ""Преспа"" № 6",Терапия и рехабилитация; Обучение за придобиване на умения; Асистентска подкрепа; Резидентна грижа; Информиране и консултиране; Застъпничество и посредничество,Пълнолетни лица със сляпо-глухота,Л-3129-27/04.03.2021 г.; Л-3129-28/04.03.2021 г.; Л-3129-29/04.03.2021 г.; Л-3129-674/22.10.2021 г.; Л-3129-1817/15.02.2024 г.; Л-3129-1818/15.02.2024 г.,03.03.2026 г.,,,,,
"СДРУЖЕНИЕ ""АСОЦИАЦИЯ ЗА ПРЕВЕНЦИЯ И РАБОТА СЪС ЗАВИСИМОСТИ САМО ДНЕС""",175608409,Варна,гр. Варна,"р-н Приморски, ул. ""Бреза"" № 4, ет. 5",Резидентна грижа,Пълнолетни лица с потребност за преодоляване от последици от употреба на наркотични вещества и други форми на зависимост,Л-3129-30/05.03.2021 г.,04.03.2026 г.,ЛПО-1-3129-30/12.06.2024 г.,04.03.2026 г.,,,
"""ЕВРОПЕЙСКИ ШАНС"" ЕООД",204809510,Ямбол,гр. Ямбол,"ул. ""Марин Дринов"" № 2",Асистентска подкрепа,Лица в надтрудоспособна възраст в невъзможност за самообслужване и пълнолетни лица с трайни увреждания с определена чужда помощ,Л-3129-31/10.03.2021 г.,09.03.2026 г.,,,,,
"ФОНДАЦИЯ ""МИЛЕНИУМ""",107508904,Велико Търново,гр. Велико Търново,"бул. ""България"" № 27, ет. 2, ап. 205",Дневна грижа; Информиране и консултиране; Терапия и рехабилитация; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения,Пълнолетни лица с трайни увреждания,Л-3129-32/12.03.2021 г.; Л-3129-1344/21.12.2022 г.; Л-3129-1345/21.12.2022 г.; Л-3129-1346/21.12.2022 г.; Л-3129-1347/21.12.2022 г.,11.03.2026 г.,,,,,
"ФОНДАЦИЯ ""ФАМИЛНА ЗОНА""",103662501,Варна,гр. Варна,"район Приморски, местност ""Свети Никола"" № 107, вх. 2, ет.5, ап.12",Терапия и рехабилитация; Общностна работа; Информиране и консултиране; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения; Застъпничество и посредничество,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца с увреждания; техните семейства и близки",Л-3129-33/16.03.2021 г.; Л-3129-92/07.04.2021 г.; Л-3129-93/07.04.2021 г.; Л-3129-94/07.04.2021 г.; Л-3129-1659/07.07.2023 г.; Л-3129-1838/27.02.2024 г.,15.03.2026 г.,,,Л-3130-5/29.12.2025 г.,16.03.2031 г.,
"""ДЪРЖАВНА ПСИХИАТРИЧНА БОЛНИЦА"" - с. ЦЕРОВА КОРИЯ",000130079,Велико Търново,с. Церова Кория,"ул. ""Втора"" № 27",Резидентна грижа; Застъпничество и посредничество; Обучение за придобиване на умения; Информиране и консултиране; Терапия и рехабилитация,Пълнолетни лица с психични разстройства,Л-3129-34/23.03.2021 г.; Л-3129-1369/29.12.2022 г.; Л-3129-1370/29.12.2022 г.; Л-3129-1371/29.12.2022 г.; Л-3129-1372/29.12.2022 г.,22.03.2026 г.,,,Л-3130-3/29.12.2025 г.,23.03.2031 г.,
"ФОНДАЦИЯ ""БЪЛГАРСКИ ЦЕНТЪР ЗА ДЖЕНДЪР ИЗСЛЕДВАНИЯ""",121714177,Столична,гр. София,"бул. ""Васил Левски"" № 33, ет. 1, над партера",Терапия и рехабилитация; Застъпничество и посредничество; Информиране и консултиране; Обучение за придобиване на умения,Пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; деца в риск по смисъла на Закона на закрила на детето,Л-3129-76/05.04.2021 г.; Л-3129-77/05.04.2021 г.; Л-3129-78/05.04.2021 г.; Л-3129-1533/15.03.2023 г.,04.04.2026 г.,,,,,
"ФОНДАЦИЯ ""РАДОСТ ЗА НАШИТЕ ДЕЦА""",103877308,Варна,гр. Варна,"район ""Одесос"", бул. ""Владислав Варненчик"", бл. 29, вх. А - партер",Застъпничество и посредничество; Информиране и консултиране; Терапия и рехабилитация; Общностна работа; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения,"Деца със специални потребности, техните семейства и близки",Л-3129-36/25.03.2021 г.; Л-3129-37/25.03.2021 г.; Л-3129-38/25.03.2021 г.; Л-3129-1511/01.03.2023 г.; Л-3129-1512/01.03.2023 г.; Л-3129-1513/01.03.2023 г.,24.03.2026 г.,,,,,
"ФОНДАЦИЯ ""ОБЩНОСТ В ПОМОЩ НА ЗАВИСИМИТЕ""",206227448,Габрово,гр. Габрово,"площад ""Белорусия"" № 2, ет. 7, ап. 13",Застъпничество и посредничество; Информиране и консултиране; Обучение за придобиване на умения; Терапия и рехабилитация; Резидентна грижа,"Пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация, вследствие от употребата на психоактивни вещества и други форми на зависимост, семействата и близките на потребителите",Л-3129-39/25.03.2021 г.; Л-3129-40/25.03.2021 г.; Л-3129-41/25.03.2021 г.; Л-3129-42/25.03.2021 г.; Л-3129-219/13.05.2021 г.; Л-3129-1786/30.11.2023 г.; Л-3129-1787/30.11.2023 г.; Л-3129-1788/30.11.2023 г.; Л-3129-1789/30.11.2023 г.; Л-3129-2035/23.12.2024 г.,24.03.2026 г.,,,,,
"ФОНДАЦИЯ ""ЕЛИЯ""",177083248,Пловдив,гр. Пловдив,"ж.к. ""Марица Гардънс"" № 4, ет. 3, ап. 15",Терапия и рехабилитация,"Деца и пълнолетни лица с увреждания, техните семейства и близки",Л-3129-45/29.03.2021 г.,28.03.2026 г.,,,,,
"ФОНДАЦИЯ ""УНИКАЛНИТЕ ДЕЦА НА ВИДИН""",176055349,Видин,гр. Видин,"ж.к ""Бонония"" № 1",Информиране и консултиране; Застъпничество и посредничество; Обучение за придобиване на умения; Дневна грижа; Общностна работа; Терапия и рехабилитация; Подкрепа за придобиване на трудови умения; Резидентна грижа,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; техните семейства и близки",Л-3129-47/30.03.2021 г.; Л-3129-48/30.03.2021 г.; Л-3129-49/30.03.2021 г.; Л-3129-99/09.04.2021 г.; Л-3129-100/09.04.2021 г.; Л-3129-175/29.04.2021 г.; Л-3129-1543/31.03.2023 г.; Л-3129-1556/13.04.2023 г.; Л-3129-1587/09.05.2023 г.,29.03.2026 г.,ЛПО-1-3129-47/16.02.2024 г.,29.03.2026 г.,,,
"ФОНДАЦИЯ ""ПСИХОЛОГИЧЕСКА ПОДКРЕПА""",121490409,Столична,гр. София,"ж.к. ""Овча Купел - 2"", бл. 33 Г-Ж, вх. А, ет. 4, ап. 10",Информиране и консултиране,Деца и семейства от общността,Л-3129-51/31.03.2021 г.,30.03.2026 г.,,,,,
"ФОНДАЦИЯ ""БЪДЕЩЕ ЗА БЪЛГАРИЯ - КЛОН ПЛОВДИВ""",1212478980024,Пловдив,гр. Пловдив,"район ""Източен"", ул. ""Ген. Радко Димитриев""№ 33",Резидентна грижа; Дневна грижа; Осигуряване на подслон; Терапия и рехабилитация; Застъпничество и посредничество; Информиране и консултиране; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения,Пълнолетни лица с умствена изостаналост,Л-3129-52/02.04.2021 г.; Л-3129-53/02.04.2021 г.; Л-3129-54/02.04.2021 г.; Л-3129-55/02.04.2021 г.; Л-3129-1215/30.05.2022 г.; Л-3129-1216/30.05.2022 г.; Л-3129-1217/30.05.2022 г.; Л-3129-1290/12.09.2022 г.; Л-3129-1919/03.06.2024 г.,01.04.2026 г.,ЛПО-1-3129-52/04.11.2025 г.,01.04.2026 г.,Л-3130-17/06.01.2026 г.,02.04.2031 г.,
"""ДАРА 13"" ЕООД",175280186,Габрово,с. Яворец,"ул. ""Пейо Крачолов Яворов"" № 6",Асистентска подкрепа,Лица в надтрудоспособна възраст в невъзможност за самообслужване и пълнолетни лица с трайни увреждания с определена чужда помощ,Л-3129-58/02.04.2021 г.,01.04.2026 г.,,,,,
"ФОНДАЦИЯ ""СОЦИАЛНИ НОРМИ""",131090776,Правец,гр. Правец,"ул. ""Опълченска"" № 11",Обучение за придобиване на умения; Терапия и рехабилитация; Общностна работа; Информиране и консултиране; Асистентска подкрепа; Застъпничество и посредничество,"Деца и пълнолетни лица с увреждания, техните семейства и близки",Л-3129-59/02.04.2021 г.; Л-3129-60/02.04.2021 г.; Л-3129-61/02.04.2021 г.; Л-3129-62/02.04.2021 г.; Л-3129-1181/11.04.2022 г.; Л-3129-1944/02.07.2024 г.,01.04.2026 г.,,,,,
"""СОЦИАЛНИ НОРМИ"" ЕООД",201336269,Ботевград,гр. Ботевград,"ул. ""Севаст Огнян"" № 4, ет. 3",Асистентска подкрепа; Общностна работа; Информиране и консултиране; Обучение за придобиване на умения; Терапия и рехабилитация; Подкрепа за придобиване на трудови умения; Резидентна грижа; Застъпничество и посредничество,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност; деца с трайни увреждания и пълнолетни лица с трайни увреждания с определена чужда помощ, които не ползват асистентска подкрепа, помощ за осигуряване на асистентска подкрепа или за които не се получава помощ за грижа в домашна среда по реда на друг закон",Л-3129-63/02.04.2021 г.; Л-3129-64/02.04.2021 г.; Л-3129-65/02.04.2021 г.; Л-3129-66/02.04.2021 г.; Л-3129-67/02.04.2021 г.; Л-3129-68/02.04.2021 г.; Л-3129-132/20.04.2021 г.; Л-3129-218/13.05.2021 г.; Л-3129-1291/14.09.2022 г.,01.04.2026 г.,,,,,
"ФОНДАЦИЯ ""ФОНДАЦИЯ НАДЕЖДА""",131151282,Столична,гр. София,"ж.к. Младост 2, ул. ""Свети Кипрян"", бл. 242, вх. 2, ет. 3, ап. 13",Информиране и консултиране; Застъпничество и посредничество; Терапия и рехабилитация; Обучение за придобиване на умения; Осигуряване на подслон; Общностна работа,Деца в риск по смисъла на Закона за закрила на детето и техните семейства,Л-3129-71/02.04.2021 г.; Л-3129-72/02.04.2021 г.; Л-3129-73/02.04.2021 г.; Л-3129-74/02.04.2021 г.; Л-3129-1759/10.10.2023 г.; Л-3129-1760/10.10.2023 г.,01.04.2026 г.,,,,,
"""ВИП ДЖИО"" ООД",148004970,Варна,гр. Варна,"р-н ""Приморски"", к.к. ""Златни пясъци"", ул. ""Якоб Лемер"" № 5",Резидентна грижа; Информиране и консултиране,Възрастни хора в надтрудоспособна възраст,Л-3129-75/05.04.2021 г.; Л-3129-1310/24.10.2022 г.,04.04.2026 г.,,,,,
"СДРУЖЕНИЕ ""АСОЦИАЦИЯ ДЕМЕТРА""",102151450,Бургас,гр. Бургас,"ул. ""Шейново"" № 102 А",Терапия и рехабилитация; Информиране и консултиране; Осигуряване на подслон; Застъпничество и посредничество; Подкрепа за придобиване на трудови умения; Общностна работа; Обучение за придобиване на умения,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация. При предоставянето на социални услуги се извършват и дейности за подкрепа на семействата и близките на потребителите",Л-3129-79/06.04.2021 г.; Л-3129-80/06.04.2021 г.; Л-3129-81/06.04.2021 г.; Л-3129-82/06.04.2021 г.; Л-3129-1417/09.01.2023 г.; Л-3129-1418/09.01.2023 г.; Л-3129-1419/09.01.2023 г.,05.04.2026 г.,,,,,
"СДРУЖЕНИЕ ""МИЛОСЪРДИЕ ЗА ТЕБ""",176998664,Варна,гр. Варна,"район ""Владислав Варненчик"", ж.к. ""Владислав Варненчик"", бл. 72, ет. 1",Информиране и консултиране; Застъпничество и посредничество; Общностна работа; Обучение за придобиване на умения; Терапия и рехабилитация,Деца и семейства,Л-3129-83/07.04.2021 г.; Л-3129-84/07.04.2021 г.; Л-3129-85/07.04.2021 г.; Л-3129-86/07.04.2021 г.; Л-3129-1644/20.06.2023 г.,06.04.2026 г.,ЛПО-1-3129-83/29.05.2023,06.04.2026 г.,,,
"""РЕЗИДЕНЦИЯ ЛИПНИК"" ЕООД",203316685,Русе,гр. Русе,"ул. ""Тутракан"" 72",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-87/07.04.2021 г.; Л-3129-88/07.04.2021 г.,06.04.2026 г.,,,,,
"СДРУЖЕНИЕ ""АУТИЗЪМ ДНЕС""",176814369,Столична,гр. София,"ж.к. Горубляне, ул. ""Витоша"" № 2",Терапия и рехабилитация; Дневна грижа; Застъпничество и посредничество; Обучение за придобиване на умения; Информиране и консултиране; Общностна работа; Подкрепа за придобиване на трудови умения,"Деца с увреждания от аутистичния спектър, техните семейства и близки",Л-3129-95/08.04.2021 г.; Л-3129-96/08.04.2021 г.; Л-3129-1330/02.12.2022 г.; Л-3129-1331/02.12.2022 г.; Л-3129-1332/02.12.2022 г.; Л-3129-1333/02.12.2022 г.; Л-3129-1334/02.12.2022 г.,07.04.2026 г.,,,,,
"ФОНДАЦИЯ ""АГАПЕДИЯ БЪЛГАРИЯ""",130580492,Столична,гр. София,"район ""Красно село"", ""Церова гора"" № 1",Резидентна грижа; Информиране и консултиране; Застъпничество и посредничество; Обучение за придобиване на умения,"Деца до 18г., а ако учат - до завършване на средно образование, но не повече от 20 годишна възраст",Л-3129-97/08.04.2021 г.; Л-3129-98/08.04.2021 г.; Л-3129-1731/18.09.2023 г.; Л-3129-1732/18.09.2023 г.,07.04.2026 г.,,,,,
"""МАГНОЛИЯ ЕМ"" ООД",201540670,Божурище,с. Пролеша,"ул. ""Шишора"" № 3",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-103/12.04.2021 г.; Л-3129-950/20.12.2021 г.,11.04.2026 г.,,,,,"АКД-30/19.06.2025; С-АНП-16/ 08.07.2025- чл. 9, ал. 1 от ЗСУ - нарушени права на потребителите; АКД-31/19.06.2025; С-АНП-17/08.07.2025 - чл. 31, ал. 1 и ал. 2 от ЗСУ - предоставяне на социална услуга без издаден лиценз"
"ФОНДАЦИЯ ""ФОНДАЦИЯ ЗА СОЦИАЛНИ УСЛУГИ ЖУЛЕВИЯ ДОМ""",112665044,Лесичово,с. Лесичово,"ул. ""Братя Дарджикови"" № 44",Резидентна грижа; Информиране и консултиране; Застъпничество и посредничество; Обучение за придобиване на умения,"Деца в риск по смисъла на Закона за закрила на детето (деца/младежи от 3 до 18 г. без увреждания, а ако учат – до завършване на средно образование, но не повече от 20-годишна възраст)",Л-3129-104/12.04.2021 г.; Л-3129-1463/10.02.2023 г.; Л-3129-1464/10.02.2023 г.; Л-3129-1520/06.03.2023 г.; Л-3129-1542/30.03.2023 г.,11.04.2026 г.,,,Л-3130-4/29.12.2025 г.,12.04.2031 г.,
"СДРУЖЕНИЕ ""ДРУЖЕСТВО ЗА СОЦИАЛНО ПОДПОМАГАНЕ""",107025384,Дряново,гр. Дряново,"ул. ""Матей Преображенски"" № 34 А",Информиране и консултиране; Застъпничество и посредничество; Резидентна грижа; Обучение за придобиване на умения,Пълнолетни лица с увреждания и възрастни хора в надтрудоспособна възраст,Л-3129-105/13.04.2021 г.; Л-3129-106/13.04.2021 г.; Л-3129-203/11.05.2021 г.; Л-3129-204/11.05.2021 г.; Л-3129-1352/29.12.2022 г.,12.04.2026 г.,,,,,
"ФОНДАЦИЯ ""МЕЖДУНАРОДНА СОЦИАЛНА СЛУЖБА - БЪЛГАРИЯ""",104599609,Велико Търново,гр. Велико Търново,"ул. ""Поп Харитон"" № 4, ет. 1, офис 2",Дневна грижа; Обучение за придобиване на умения; Терапия и рехабилитация; Общностна работа; Застъпничество и посредничество; Резидентна грижа; Информиране и консултиране; Подкрепа за придобиване на трудови умения,Пълнолетни лица с увреждания,Л-3129-109/14.04.2021 г.; Л-3129-110/14.04.2021 г.; Л-3129-111/14.04.2021 г.; Л-3129-112/14.04.2021 г.; Л-3129-113/14.04.2021 г.; Л-3129-114/14.04.2021 г.; Л-3129-405/21.07.2021 г.; Л-3129-406/21.07.2021 г.; Л-3129-407/21.07.2021 г.; Л-3129-408/21.07.2021 г.; Л-3129-605/29.09.2021 г.; Л-3129-606/29.09.2021 г.; Л-3129-848/26.11.2021 г.; Л-3129-1862/10.04.2024 г.,13.04.2026 г.,,,,,
"""ЕС ЕНД КИДС"" ЕООД",206077546,Столична,гр. София,"ж.к. ""Люлин"" 5, бл. 564, вх. В, ет. 2, ап. 6",Терапия и рехабилитация,Деца и пълнолетни лица с увреждания,Л-3129-115/14.04.2021 г.,13.04.2026 г.,,,,,
"СДРУЖЕНИЕ ""АСОЦИАЦИЯ АУТИЗЪМ""",131101393,Столична,гр. София,"район ""Искър"", ж.к. ""Дружба"", бл. 50, вх. Д, ет. 3, ап. 101",Дневна грижа; Терапия и рехабилитация; Застъпничество и посредничество; Обучение за придобиване на умения; Информиране и консултиране,"Деца с увреждания от аутистичния спектър, техните семейства и близки",Л-3129-116/14.04.2021 г.; Л-3129-117/14.04.2021 г.; Л-3129-1479/16.02.2023 г.; Л-3129-1480/16.02.2023 г.; Л-3129-1481/16.02.2023 г.,13.04.2026 г.,,,,,
"СДРУЖЕНИЕ ""СДРУЖЕНИЕ ""ЗА СОЦИАЛНА ОТГОВОРНОСТ И РЕГИОНАЛНИ ИНИЦИАТИВИ - БАНСКО""""",175794974,Банско,гр. Банско,"ул. ""Патриарх Евтимий"" № 17",Терапия и рехабилитация; Резидентна грижа; Дневна грижа; Застъпничество и посредничество; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения; Информиране и консултиране,Деца и лица в риск от социално изключване,Л-3129-118/14.04.2021 г.; Л-3129-120/14.04.2021 г.; Л-3129-654/15.10.2021 г.; Л-3129-1935/21.06.2024 г.; Л-3129-1936/21.06.2024 г.; Л-3129-1937/21.06.2024 г.; Л-3129-2089/28.05.2025 г.,13.04.2026 г.,ЛПО-1-3129-118/26.06.2025 г.,13.04.2026 г.,,,
"СДРУЖЕНИЕ ""ЦЕНТЪР ЗА СТРАТЕГИИ ПО ПРОБЛЕМИТЕ НА МАЛЦИНСТВАТА""",103812456,Варна,гр. Варна,"ул. ""Мара Гидик"" № 70",Общностна работа,Деца и пълнолетни лица от уязвими общности или групи,Л-3129-122/15.04.2021 г.,14.04.2026 г.,,,,,
"""АЛЕН МАК МЕД"" ЕООД",205776942,Варна,гр. Варна,"р-н ""Одесос"", ул. ""Македония"" № 88, ет. 1, ап. 1",Резидентна грижа; Терапия и рехабилитация; Информиране и консултиране; Дневна грижа; Застъпничество и посредничество; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения,Възрастни хора в надтрудоспособна възраст,Л-3129-123/15.04.2021 г.; Л-3129-173/28.04.2021 г.; Л-3129-330/21.06.2021 г.; Л-3129-349/23.06.2021 г.; Л-3129-350/23.06.2021 г.; Л-3129-351/23.06.2021 г.; Л-3129-435/05.08.2021 г.; Л-3129-442/05.08.2021 г.; Л-3129-1595/15.05.2023 г.,14.04.2026 г.,ЛПО-1-3129-123/27.10.2022 г.,14.04.2026 г.,,,
"""СЕНЕКС"" ЕООД",103259685,Варна,гр. Варна,"р-н Приморски, ж.к. ""Чайка"", бл. 65, ап. 64",Терапия и рехабилитация; Информиране и консултиране; Обучение за придобиване на умения; Застъпничество и посредничество; Общностна работа; Подкрепа за придобиване на трудови умения,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; при предоставянето на социални услуги се извършват и дейности за подкрепа на семействата и близките на потребителите",Л-3129-124/16.04.2021 г.; Л-3129-125/16.04.2021 г.; Л-3129-396/21.07.2021 г.; Л-3129-397/21.07.2021 г.; Л-3129-398/21.07.2021 г.; Л-3129-1610/19.05.2023 г.,15.04.2026 г.,,,,,
"ФОНДАЦИЯ ""ЕС О ЕС - СЕМЕЙСТВА В РИСК""",103852707,Варна,гр. Варна,"р-н Приморски, ул. ""Синчец"" № 21",Информиране и консултиране; Застъпничество и посредничество; Общностна работа; Терапия и рехабилитация; Обучение за придобиване на умения; Осигуряване на подслон; Подкрепа за придобиване на трудови умения,"Деца в риск по смисъла на Закона за закрила на детето; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация, пострадали от домашно насилие и/или трафик на хора",Л-3129-126/16.04.2021 г.; Л-3129-127/16.04.2021 г.; Л-3129-128/16.04.2021 г.; Л-3129-129/16.04.2021 г.; Л-3129-130/16.04.2021 г.; Л-3129-131/16.04.2021 г.; Л-3129-1832/26.02.2024 г.,15.04.2026 г.,ЛПО-1-3129-126/06.03.2024 г.,15.04.2026 г.,,,
"ФОНДАЦИЯ ""МОРЕНА-В.Н""",176271966,Столична,гр. София,"ж.к. ""Христо Смирненски"", бл. 24, вх. Д, ет. 6, ап. 150",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-133/20.04.2021 г.,19.04.2026 г.,,,,,
